bobsmhdlc3,ictminisat,,timeout
bobsmhdlc3,minisat2,,timeout
bobsmi2c,cadical,,timeout
bobsmi2c,ictminisat,,timeout
bobsmi2c,minisat2,29.35,proved
bobsmminiuart,cadical,,timeout
bobsmminiuart,ictminisat,,timeout
bobsmminiuart,minisat2,,timeout
bobsynth13,cadical,0.57,refuted
bobsynth13,ictminisat,0.66,refuted
bobsynth13,minisat2,0.54,refuted
bobsynthand,cadical,0.42,proved
bobsynthand,ictminisat,0.60,proved
bobsynthand,minisat2,0.31,proved
bobsynthor,cadical,0.81,refuted
bobsynthor,ictminisat,0.64,refuted
bobsynthor,minisat2,0.65,refuted
bobtuint24,cadical,0.09,refuted
bobtuint24,ictminisat,0.04,refuted
bobtuint24,minisat2,0.09,refuted
bobtuttt,cadical,,timeout
bobtuttt,ictminisat,,timeout
bobtuttt,minisat2,,timeout
bobunr2p10d40l,cadical,0.86,proved
bobunr2p10d40l,ictminisat,0.57,proved
bobunr2p10d40l,minisat2,0.33,proved
brpp1,cadical,0.14,refuted
brpp1,ictminisat,0.10,refuted
brpp1,minisat2,0.17,refuted
cmudme2,cadical,,timeout
cmudme2,ictminisat,,timeout
cmudme2,minisat2,,timeout
counterp0,cadical,0.05,refuted
counterp0,ictminisat,0.07,refuted
counterp0,minisat2,0.05,refuted
csmacdp2,cadical,,timeout
csmacdp2,ictminisat,,timeout
csmacdp2,minisat2,,timeout
dme6p1,cadical,0.12,refuted
dme6p1,ictminisat,0.42,refuted
dme6p1,minisat2,0.65,refuted
dme6p1neg,cadical,0.08,refuted
dme6p1neg,ictminisat,0.19,refuted
dme6p1neg,minisat2,0.12,refuted
eijkbs1512,cadical,,timeout
eijkbs1512,ictminisat,,timeout
eijkbs1512,minisat2,,timeout
eijkbs3271,cadical,,timeout
eijkbs3271,ictminisat,,timeout
eijkbs3271,minisat2,,timeout
eijkbs6669,cadical,,timeout
eijkbs6669,ictminisat,,timeout
eijkbs6669,minisat2,,timeout
eijks1196,cadical,0.37,proved
eijks1196,ictminisat,0.18,proved
eijks1196,minisat2,0.17,proved
eijks1238,cadical,0.39,proved
eijks1238,ictminisat,0.12,proved
eijks1238,minisat2,0.18,proved
eijks344,cadical,1.03,proved
eijks344,ictminisat,0.92,proved
eijks344,minisat2,1.17,proved
eijks349,cadical,0.99,proved
eijks349,ictminisat,0.90,proved
eijks349,minisat2,0.78,proved
eijks386,cadical,0.64,proved
eijks386,ictminisat,0.28,proved
eijks386,minisat2,0.22,proved
eijks444,cadical,,timeout
eijks444,ictminisat,,timeout
eijks444,minisat2,,timeout
eijks953,cadical,0.92,proved
eijks953,ictminisat,0.48,proved
eijks953,minisat2,0.45,proved
intel001,cadical,0.11,proved
intel001,ictminisat,0.07,proved
intel001,minisat2,0.07,proved
intel003,cadical,0.44,proved
intel003,ictminisat,0.47,proved
intel003,minisat2,0.23,proved
intel007,cadical,,timeout
intel007,ictminisat,,timeout
intel007,minisat2,,timeout
intel012,cadical,,timeout
intel012,ictminisat,,timeout
intel012,minisat2,,timeout
intel013,cadical,,timeout
intel013,ictminisat,,timeout
intel013,minisat2,,timeout
intel014,cadical,,timeout
intel014,ictminisat,,timeout
intel014,minisat2,,timeout
intel016,cadical,,timeout
intel016,ictminisat,,timeout
intel016,minisat2,,timeout
intel025,cadical,,timeout
intel025,ictminisat,,timeout
intel025,minisat2,,timeout
