benchmark;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem;solver;status;bound;real;time;mem
6s163;abcdeep;time;2053;3600.30;15842.21;109244.7;abcsuperprove;time;-1;3600.07;22671.60;119574.8;avy;time;-1;3600.07;10436.53;33714.4;blimc;unk;181;1492.72;1491.96;32931.1;conpcheck;time;961;3600.02;10797.21;33398.7;iimc;time;331;3600.05;24876.50;13331.1;iprover;time;0;3600.27;3310.98;127703.9;iproverdeep;time;2;3600.18;5096.61;127695.2;nuxmv;time;181;3600.13;14376.92;25606.2;nuxmvbmc;time;185;3600.04;3599.89;17779.1;pdtravdeep;time;474;3602.07;8827.95;58507.2;pdtravthrd;time;-1;3602.30;15663.64;54456.1;shiftbmc;unk;1000;883.02;882.10;33880.6;truss;time;10;3600.94;10707.52;37280.3
6s185;abcdeep;time;20;3600.03;28779.64;1334.6;abcsuperprove;time;-1;3600.05;42191.52;3916.6;avy;time;-1;3600.09;14393.07;1281.2;blimc;time;22;3600.10;3599.39;68.1;conpcheck;time;19;3600.03;10797.52;313.0;iimc;time;87;3600.32;28170.70;4915.2;iprover;time;18;3600.08;25349.88;42447.7;iproverdeep;time;18;3600.03;14486.75;42435.7;nuxmv;time;21;3600.05;14397.97;517.1;nuxmvbmc;time;19;3600.05;3599.28;185.6;pdtravdeep;time;0;3600.04;14388.95;2052.1;pdtravthrd;time;-1;3600.52;24866.03;19704.0;shiftbmc;time;19;3600.04;3599.63;382.9;truss;time;102;3600.10;10838.92;1961.5
6s186;abcdeep;time;20;3600.07;28776.69;1427.5;abcsuperprove;time;-1;3600.08;44366.45;3451.5;avy;time;-1;3600.10;14396.13;1145.5;blimc;time;22;3600.11;3599.25;85.4;conpcheck;time;18;3600.05;10799.10;279.6;iimc;time;83;3600.36;28165.90;3971.6;iprover;time;18;3600.09;25341.15;35543.2;iproverdeep;time;18;3600.09;14487.88;30028.6;nuxmv;time;22;3600.10;14397.50;465.1;nuxmvbmc;time;18;3600.04;3599.34;167.4;pdtravdeep;time;0;3600.13;14387.25;2171.6;pdtravthrd;time;-1;3600.28;23112.40;8835.7;shiftbmc;time;19;3600.10;3598.59;492.7;truss;time;85;3600.14;10837.56;1817.8
6s187;abcdeep;time;20;3600.05;28789.99;1250.8;abcsuperprove;time;-1;3600.12;22953.51;3132.2;avy;time;-1;3600.07;14393.60;1111.7;blimc;time;20;3600.10;3599.27;98.5;conpcheck;time;16;3600.06;10797.61;299.8;iimc;sat;563;2860.44;22813.93;4090.9;iprover;time;17;3600.12;25333.64;48493.0;iproverdeep;time;17;3600.04;14488.34;29395.7;nuxmv;time;22;3600.08;14397.28;461.5;nuxmvbmc;time;17;3600.11;3599.39;156.2;pdtravdeep;time;0;3600.04;14389.70;1928.8;pdtravthrd;time;-1;3600.25;25092.29;7619.5;shiftbmc;time;17;3600.04;3599.39;344.4;truss;time;88;3600.12;10831.05;2263.3
6s188;abcdeep;time;45;3600.09;28775.64;2250.8;abcsuperprove;time;-1;3600.07;30483.60;3029.3;avy;time;-1;3600.11;14393.94;6571.8;blimc;time;44;3600.07;3599.51;182.0;conpcheck;time;30;3600.06;10799.22;363.1;iimc;time;42;3600.07;28779.59;1368.6;iprover;time;32;3600.04;21735.95;99074.3;iproverdeep;time;32;3600.08;10638.49;70754.7;nuxmv;time;44;3600.10;14395.22;931.6;nuxmvbmc;time;44;3600.05;3598.94;545.9;pdtravdeep;time;-1;3600.33;14382.25;16644.4;pdtravthrd;time;-1;3600.70;21613.99;18256.9;shiftbmc;time;42;3600.11;3599.24;725.3;truss;time;30;3600.18;10873.42;1774.8
6s191;abcdeep;time;182;3600.04;28726.17;2063.1;abcsuperprove;time;-1;3600.02;41890.91;3474.4;avy;time;-1;3600.11;14393.38;2259.0;blimc;time;162;3600.07;3599.57;195.4;conpcheck;time;115;3600.06;10797.62;376.1;iimc;time;118;3600.10;28788.93;1334.3;iprover;time;85;3600.10;21418.83;127710.4;iproverdeep;time;84;3600.05;14495.56;97148.1;nuxmv;time;52;3600.12;14400.12;710.0;nuxmvbmc;time;110;3600.06;3600.06;356.7;pdtravdeep;time;2;3600.56;14379.66;10491.4;pdtravthrd;time;-1;3601.15;24311.11;26881.3;shiftbmc;time;170;3600.04;3599.78;460.8;truss;time;63;3600.14;10833.73;2222.8
6s195;abcdeep;time;6379567;3600.29;27088.12;127751.1;abcsuperprove;time;-1;3600.05;19061.25;80548.5;avy;time;-1;3600.10;14390.84;2866.3;blimc;time;371;3600.12;3599.32;241.8;conpcheck;time;208;3600.03;10797.07;518.9;iimc;time;297;3600.10;28771.32;1232.7;iprover;time;114;3600.72;15232.83;127675.0;iproverdeep;time;124;3600.04;14491.11;122725.2;nuxmv;time;549;3600.08;14399.10;1686.5;nuxmvbmc;time;553;3600.12;3599.69;1309.9;pdtravdeep;time;17;3600.45;13465.91;10117.7;pdtravthrd;time;-1;3600.56;15881.96;13400.7;shiftbmc;time;361;3600.03;3598.78;679.7;truss;time;91;3600.15;10827.72;2277.2
6s20;abcdeep;sat;9;408.27;2711.70;1012.8;abcsuperprove;sat;15;142.83;1160.89;1324.2;avy;time;-1;3600.04;14370.65;2223.8;blimc;sat;9;567.88;567.13;82.8;conpcheck;sat;9;2660.53;7974.99;324.0;iimc;time;8;3601.14;28129.64;12035.4;iprover;sat;9;2537.84;15329.88;69391.7;iproverdeep;time;7;3600.07;9529.78;49970.2;nuxmv;sat;9;931.08;3722.68;728.8;nuxmvbmc;sat;9;2396.68;2395.81;557.9;pdtravdeep;sat;10;168.57;284.37;1281.6;pdtravthrd;sat;9;629.92;3649.15;3223.5;shiftbmc;sat;9;422.48;421.86;208.5;truss;time;7;3600.12;10885.02;1444.4
6s202b41;abcdeep;mem;2058814;117.63;794.76;128013.8;abcsuperprove;uns;-1;6.59;6.12;212.3;avy;time;-1;3600.10;3541.68;198.8;blimc;time;485;3600.39;3599.34;26965.8;conpcheck;time;1000;3600.04;7199.02;1513.4;iimc;uns;-1;18.44;18.19;350.0;iprover;time;6;3600.88;6447.20;127716.3;iproverdeep;time;43;3600.23;9025.92;117885.5;nuxmv;uns;-1;12.64;42.51;2070.6;nuxmvbmc;unk;1001;6.26;6.07;346.0;pdtravdeep;uns;-1;7.06;6.89;792.6;pdtravthrd;uns;-1;8.10;7.10;1238.2;shiftbmc;unk;1000;157.07;156.66;1089.6;truss;time;94;3600.39;10801.06;11767.6
6s204b16;abcdeep;time;33838938;3601.50;5120.97;127690.2;abcsuperprove;uns;-1;3.29;2.38;103.2;avy;time;-1;3600.07;10734.58;10878.1;blimc;unk;1000;889.55;888.74;11361.4;conpcheck;time;1000;3600.12;7198.27;3502.2;iimc;uns;-1;14.18;13.49;149.1;iprover;time;61;3600.14;15117.05;127629.6;iproverdeep;time;84;3600.08;11130.60;127689.4;nuxmv;uns;-1;6.51;21.25;972.3;nuxmvbmc;unk;1001;82.86;82.12;4118.0;pdtravdeep;uns;-1;18.48;18.20;392.3;pdtravthrd;uns;-1;19.09;18.40;628.5;shiftbmc;unk;1000;34.90;34.27;3380.3;truss;uns;-1;2705.59;8132.90;6673.3
6s205b20;abcdeep;time;4019601;3600.23;9103.13;127683.6;abcsuperprove;uns;-1;6.78;5.91;212.3;avy;time;-1;3600.09;3541.37;187.1;blimc;time;521;3600.32;3598.79;25867.9;conpcheck;time;1000;3600.08;7198.65;1451.1;iimc;uns;-1;18.67;17.79;349.8;iprover;time;54;3601.07;6755.28;127723.0;iproverdeep;time;56;3600.09;7300.77;127703.8;nuxmv;uns;-1;12.48;40.69;2066.1;nuxmvbmc;unk;1001;6.57;5.97;343.8;pdtravdeep;uns;-1;7.58;6.69;789.7;pdtravthrd;uns;-1;7.29;6.90;1229.4;shiftbmc;unk;1000;154.95;154.56;1082.5;truss;time;94;3600.36;10800.22;12357.3
